rg	mh_contam	faunal_prop	nsnps	branchtime	branch	man.max.ll	man.max.ll.last	n.iter	my.t.idx	max.ll	step.x	mylib
A16112_rg_1_FALSE	0.0193053519060613	3.9989443782546e-10	1616	0.821307747381467	v	-261.277062515129	-261.277062515129	13	0	-261.277062515129	0	A16112
A16112_rg_1_TRUE	6.37127130437474e-10	9.07192024963015e-11	886	0.821307747381467	v	-261.277062515129	-261.277062515129	13	0	-261.277062515129	0	A16112
