v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
2	1	0	1	0.474137931	v	8600	10681	1100.8	10	0.805168055425522
1	1	0	1	0.474137931	v	4267	8721	1100.8	10	0.489278752436647
1	1	2	1	0.474137931	v	4286	8289	1100.8	10	0.517070816745084
0	1	1	1	0.474137931	v	803	5114	1100.8	10	0.157019945248338
2	1	1	1	0.474137931	v	4329	5139	1100.8	10	0.842381786339755
1	1	1	1	0.474137931	v	1580	3237	1100.8	10	0.488106271238801
0	0	0	0	0.6034482758	d	6524290	674353953	0	10	0.00967487470189116
2	2	2	2	0.6034482758	d	549758660	550334345	0	10	0.998953935902365
0	0	0	2	0.6034482758	d	37763834	40708674	0.4	10	0.927660625841068
2	2	2	0	0.6034482758	d	577615	33732916	0.45	10	0.0171231861485085
0	0	0	1	0.6034482758	d	5882577	15407055	5.85	10	0.381810605595943
1	0	0	0	0.6034482758	d	10603	7843506	29.5	10	0.00135181894423234
0	2	0	0	0.6034482758	d	10581	4436081	31.8	10	0.00238521343501167
0	0	1	0	0.6034482758	d	11520	4339985	28.6	10	0.00265438705433314
0	0	2	0	0.6034482758	d	17960	4176103	18.35	10	0.0043006602088119
2	0	0	0	0.6034482758	d	9650	3445583	33.45	10	0.00280068714060872
0	1	0	0	0.6034482758	d	3901	2993716	78.95	10	0.0013030628155777
2	2	0	0	0.6034482758	d	18220	2800260	18.65	10	0.00650653867855128
1	2	0	0	0.6034482758	d	7716	1571315	45.45	10	0.00491053671606266
2	2	2	1	0.6034482758	d	1155488	2310024	9.15	10	0.500206058465193
2	2	1	0	0.6034482758	d	11528	1412625	32.4	10	0.00816069374391647
2	0	2	0	0.6034482758	d	10155	1387045	34.35	10	0.00732131978414543
0	2	2	0	0.6034482758	d	9700	1330716	36.9	10	0.007289308913397
1	2	2	0	0.6034482758	d	10185	1316578	35.2	10	0.00773596399149917
1	0	2	0	0.6034482758	d	7511	1107871	48.25	10	0.00677967019625931
0	2	1	0	0.6034482758	d	3737	628458	89.95	10	0.00594630030964679
2	0	1	0	0.6034482758	d	3835	600720	92.55	10	0.0063840058596351
1	0	1	0	0.6034482758	d	3609	594481	102.05	10	0.00607084162487952
2	1	0	0	0.6034482758	d	2848	547418	123.05	10	0.00520260568706181
1	1	0	0	0.6034482758	d	2283	538103	159.95	10	0.0042426821630803
0	0	2	2	0.6034482758	d	735048	753064	28	10	0.976076402536836
2	2	0	2	0.6034482758	d	738030	756041	28.4	10	0.976177217902204
1	2	1	0	0.6034482758	d	3607	495234	104.25	10	0.00728342561294257
2	1	2	0	0.6034482758	d	3951	504609	89.25	10	0.00782982467613538
0	1	2	0	0.6034482758	d	2686	411957	129.7	10	0.00652009797139022
0	0	1	2	0.6034482758	d	455443	467019	46	10	0.975212999899362
2	2	1	2	0.6034482758	d	459837	471093	43.6	10	0.976106628627468
2	0	2	2	0.6034482758	d	427724	438131	49	10	0.976246830285919
1	0	0	2	0.6034482758	d	424208	434780	48.6	10	0.975684254105525
1	2	2	2	0.6034482758	d	427797	438232	49.2	10	0.976188411617591
0	2	0	2	0.6034482758	d	423538	434186	49.2	10	0.975475948095977
1	1	2	0	0.6034482758	d	2097	287576	174.6	10	0.00729198542298384
2	0	0	2	0.6034482758	d	391733	401514	53	10	0.975639703721414
0	2	2	2	0.6034482758	d	393557	403210	52.55	10	0.976059621537164
0	1	1	0	0.6034482758	d	1298	229043	272.3	10	0.00566705815065293
1	0	2	2	0.6034482758	d	305312	312774	68.05	10	0.976142518240007
1	2	0	2	0.6034482758	d	304931	312481	67.3	10	0.975838530982684
2	1	1	0	0.6034482758	d	1315	184034	274.3	10	0.00714541878131215
1	1	1	0	0.6034482758	d	856	131143	433.5	10	0.00652722600520043
2	1	2	2	0.6034482758	d	165357	169235	124.8	10	0.977085118326587
0	1	0	2	0.6034482758	d	164322	168359	125.75	10	0.976021477913269
0	2	1	2	0.6034482758	d	155692	159664	132.8	10	0.975122757791362
2	0	1	2	0.6034482758	d	155569	159468	135.55	10	0.975549953595706
1	2	1	2	0.6034482758	d	138347	141901	150.5	10	0.974954369595704
1	0	1	2	0.6034482758	d	137003	140400	150.55	10	0.975804843304843
2	1	0	2	0.6034482758	d	111354	114129	187.8	10	0.975685408616565
0	1	2	2	0.6034482758	d	110906	113717	185	10	0.975280740786338
1	1	2	2	0.6034482758	d	86115	88218	240.15	10	0.976161327620214
1	1	0	2	0.6034482758	d	85931	88083	241.6	10	0.975568497894032
2	2	0	1	0.6034482758	d	36583	72727	313.9	10	0.503018136318011
0	0	2	1	0.6034482758	d	36600	73412	310.45	10	0.498556094371492
2	1	1	2	0.6034482758	d	51887	53150	398.25	10	0.97623706491063
0	1	1	2	0.6034482758	d	51462	52776	403.65	10	0.975102319236016
0	0	1	1	0.6034482758	d	22586	45388	512.55	10	0.497620516436062
2	2	1	1	0.6034482758	d	22444	44938	522.05	10	0.499443677956295
1	0	0	1	0.6034482758	d	21518	42372	543.4	10	0.50783536297555
0	2	0	1	0.6034482758	d	21388	42886	539.85	10	0.498717530196334
1	2	2	1	0.6034482758	d	20588	41693	563.65	10	0.493799918451539
2	0	0	1	0.6034482758	d	19788	39070	595.05	10	0.506475556693115
2	0	2	1	0.6034482758	d	20714	41753	547.55	10	0.496108064091203
0	2	2	1	0.6034482758	d	19232	38546	590.1	10	0.498936335806569
1	0	2	1	0.6034482758	d	14785	30003	755.95	10	0.492784054927841
1	1	1	2	0.6034482758	d	33409	34211	615.9	10	0.976557247668878
1	2	0	1	0.6034482758	d	15222	30156	756.95	10	0.504775169120573
0	2	1	1	0.6034482758	d	7584	15093	1013.3	10	0.502484595507851
0	1	0	1	0.6034482758	d	7904	16186	985.7	10	0.488323242308168
2	1	2	1	0.6034482758	d	8025	15753	995.65	10	0.509426775852219
2	0	1	1	0.6034482758	d	7650	15351	1011.85	10	0.498338870431894
